ObjDokNr;Ortsteil;Bezirk;Denkmalart;EnsembleStatus;Adresse;Zugehˆrigkeit;Architekt/K¸nstler;WeitereInformationen;Beschreibung;Datierung;Eintragung
9040447;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg;;NA;NA;Alt-Blankenburg, Dorfanger;NA;Nach 1995
9040450;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 1;;NA;NA;Fachwerkgeb‰ude;1880;Nach 1995
9040423;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 6/8;;Rudolph Bach ;NA;Wohnhaus, Scheune, Stall;1899;Nach 1995
9097815;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 7;;NA;NA;Wohnhaus;1940;Nach 1995
9040424;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 9;;Bezirkshochbauamt Pankow ;NA;Wohnhaus (Feuerwehrdepot und Ortssanit‰tsstelle);1926-27;Nach 1995
9040425;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 11;;Wilhelm Zinn;" ˆstl. Wohnhaus, 1934; Einfriedungen um 1910 und 1934 ";Mietshaus;1910 und 1934 und 1910 und 1934;Nach 1995
9040449;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 12;;NA;NA;giebelst‰ndiges Wirtschaftsgeb‰ude;1880;Nach 1995
9040422;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 12A;;Stadtbezirksbauleitung Pankow ;NA;Landwarenhaus;1959;Nach 1995
9040536;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;NA;;NA;NA;ˆstl. Stall und Remise;1874 und 1890;Nach 1995
9040426;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 16;;NA;NA;Mietshaus mit Einfriedung;1912;Nach 1995
9040427;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 20;;NA;NA;Mietshaus, Wirtschaftsgeb‰ude;1900;Nach 1995
9040428;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 21;;NA;NA;Wohnhaus;1930;Nach 1995
9040429;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 22/24;;Rudolph Bach ;NA;ehem. Dorfkrug, Anbau, s¸dl. Wirtschaftsgeb‰ude;1890 und 1901;Nach 1995
9040430;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 25/27 (mit Nr. 29 eine Hofanlage bildend);;Rudoph Bach; nˆrdl. Scheune, 1908 von Damerow ;giebelst‰ndiger Stall;1874 und 1905 und 1908;Nach 1995
9040537;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 29;;NA;NA;Scheune, Stall;1895;Nach 1995
9040431;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 30;;P. Liesegang ;NA;Hofanlage: Wohnhaus mit Einfriedung, Scheune, ˆstl. Stall, Hofpflasterung;1891-92;Nach 1995
9040432;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 35;;NA;NA;Wohnhaus;1891 und 1914;Nach 1995
9040433;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 36;;NA;NA;Schmiede;1907;Nach 1995
9040434;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 37;;Richard Schirmer ;NA;Wohnhaus;1935-36;Nach 1995
9040435;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 38;;NA;NA;Mietshaus;1907;Nach 1995
9040436;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 42;;NA;NA;Wohnhaus;1850;Nach 1995
9040437;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 43;;Richard Schirmer ;NA;Wohnhaus mit Post;1936;Nach 1995
9040438;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 45;;NA;NA;Wohnhaus mit L‰den;1939;Nach 1995
9040439;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 47;;NA;NA;westl. Stall;1890;Nach 1995
9040441;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 54;;Friedrich Hakelberg ;NA;Wohnhaus;1921;Nach 1995
9040442;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 57;;P. Liesegang ;NA;Wohnhaus mit Einfriedung;1892;Nach 1995
9040443;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 60;;Joseph Strobel ;NA;Wohnhaus;1928;Nach 1995
9040444;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 61;;NA;NA;Wohnhaus, Scheune, Stall;1895;Nach 1995
9040445;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Blankenburg 63/65;;P.Liesegang;" Scheune, 1900; westl. Wohn- und Stallgeb‰ude, 1912  ";Wohnhaus;1891 und 1900 und 1912;Nach 1995
9040446;PAN/BLANB-E;Pankow;Ensemble;Weiterer Bestandteil;"Alt-Blankenburg 62/66, Alt-Blankenburg 26; 39; 41; 44; 49; 51; 52; 53; 55; 56; 58; 67/69; 68, - Gernroder Straﬂe 3; 6/14, - Priesterstege 2";;NA;NA;Hofanlage mit ehem. Bauerngarten: Wohnhaus mit Einfriedung;1894 und 1885 und 1900;Nach 1995
9050460;PAN/BUCH-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Buch 36-38A, 41, 45/51, 53, 57, 59, Karower Straﬂe 1, Pˆlnitzweg, Rˆntgentaler Weg, Wiltbergstraﬂe;"Gesamtanlage siehe: Alt-Buch 45/51.audenkmale siehe: Alt-Buch 36; 37; 38; 38A; 53; Karower Straﬂe 1, Wiltbergstraﬂe.artendenkmal siehe: Alt-Buch 41.";NA;NA;Schlosskirche mit Friedhof, Schlosspark, Parkportal, Schlosskrug mit Ausspanne, Pfarr- und Gemeindehaus, Dorfschule, Gutshof, Wohnh‰user, Gewerbegeb‰ude, Wirtschaftsgeb‰ude;NA;Nach 1995
9050465;PAN/BUCH-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Buch 41;;NA;NA;Parkportal;NA;Nach 1995
9050442;PAN/BUCH-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Buch 57;;NA;NA;Wohnhaus;1948 und 1890;Nach 1995
9050443;PAN/BUCH-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Buch 59;;NA;NA;Wohnhaus;1890;Nach 1995
9040370;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 1-61, Bahnhofstraﬂe 33-35F, Frundsbergstraﬂe 22, 23A-24A, 28A-31, Lanker Straﬂe 14-15A, 26-31, Schˆnerlinder Weg 72/90, Straﬂe 56 Nr. 39/81, Straﬂe 72, Straﬂe 74 Nr. 4/8, Straﬂe 76, Straﬂe 84 Nr. 2;"Gesamtanlage siehe: Alt-Karow 14.audenkmale siehe: Alt-Karow 15; 17; 21; 24-25; 28-28A; 35; 44; 47-48; 53-54; 59.artendenkmal siehe: Alt-Karow 14.onstituierende .";NA;NA;Bahnhofstraﬂe, Privatweg) (D);NA;Nach 1995
9040408;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow;;NA;NA;Alt-Karow, Dorfaue;NA;Nach 1995
9040377;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow;;NA;NA;Alt-Karow, Spritzenhaus;1880;Nach 1995
9040371;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 1;;NA;NA;Hofanlage: Wohnhaus;1878 und 1850;Nach 1995
9040372;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 2;;NA;NA;Gasthaus, Scheune;1895;Nach 1995
9040373;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 3;;NA;NA;Hofanlage: Wohnhaus;1890 und 1928;Nach 1995
9040374;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 4;;NA;NA;Dorfschmiede, vor;1900;Nach 1995
9040375;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 7;;NA;NA;Gesindehaus und nordwestliche Einfriedung;1890;Nach 1995
9040376;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 8-9;;NA;NA;St‰lle, Scheune und Hofpflasterung;1890;Nach 1995
9040381;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 18;;NA;NA;Scheune;1900;Nach 1995
9040382;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 20;;NA;NA;teilweise ver‰ndert;1900;Nach 1995
9040384;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 22;;NA;NA;Gesindehaus;1900;Nach 1995
9040386;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 26;;NA;NA;Wohnhaus;1824 und 1900;Nach 1995
9040387;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 27;;NA;NA;Hofanlage: Dorfschmiede, Wohnhaus, Nebengeb‰ude und Hofpflasterung;1893;Nach 1995
9040389;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 33;;NA;NA;teilweise ver‰ndert;1850;Nach 1995
9040390;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 34;;NA;NA;Wohnhaus;1880;Nach 1995
9040392;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 37;;NA;NA;Wohnhaus;1900;Nach 1995
9040393;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 38;;NA;NA;Hofanlage: Wohnhaus;1890 und 1900;Nach 1995
9040394;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 40-41;;NA;NA;Hofanlage: Wohnhaus;1885 und 1895;Nach 1995
9040395;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 41A;;NA;NA;Umbau vor;1895 und 1930;Nach 1995
9040396;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 42-43;;NA;NA;Wohnhaus und Backofen;1890;Nach 1995
9040398;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 45-46;;NA;NA;Wohnhaus;1890;Nach 1995
9040400;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 49;;NA;NA;Wohnhaus;1890;Nach 1995
9040401;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 51;;NA;NA;Wohnhaus;1885;Nach 1995
9040403;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 55;;NA;NA;Wohnhaus;1938 und 1986;Nach 1995
9040404;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 56;;NA;NA;Wohnhaus, Scheune, Stall und Hofpflasterung;1895;Nach 1995
9040406;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;Alt-Karow 60;;NA;NA;Mietshaus;1900;Nach 1995
9040407;PAN/KAROW-E;Pankow;Ensemble;Weiterer Bestandteil;"Alt-Karow 61, Alt-Karow 10; 12; 13; 16; 18 (Wohnhaus und Wirtschaftsgeb‰ude); 19; 23; 25A; 39-39A; 42-43 (Wirtschaftsgeb‰ude); 53, 57, - Bahnhofstraﬂe 33-35A, - Frundsbergstraﬂe 23-24A; 28A-31, - Lanker Straﬂe 14-15A; 28-28A; 31, - Schˆnerlinder Weg 72/84, - Straﬂe 56, Nr. 39/41; 61";;NA;NA;Mietshaus;1900;Nach 1995
9085334;PAN/NIEDS-E;Pankow;Ensemble;Weiterer Bestandteil;Am Schloﬂpark, Am Orangeriepark 1-6, 8, 14, Dietzgenstraﬂe 2/6A, Ossietzkystraﬂe 44, 45, Schloﬂallee, Tschaikowskistraﬂe 1, 1A, 3;"Baudenkmale siehe: Am Orangeriepark 2/6; Tschaikowskistraﬂe 1.esamtanlage siehe: Ossietzkystraﬂe 44, 45.artendenkmale siehe: Am Schloﬂpark; Tschaikowskistraﬂe 3.icht konstituierende . Am Orangeriepark 1/5, 8, 1. Dietzgenstraﬂe 6, 6A.";NA;NA;zum G‰stehaus des Ministerrats der DDR;NA;Nach 1995
9030586;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;An der Industriebahn 12-16, N¸ﬂlerstraﬂe 24-25, Roelckestraﬂe 81-83;Baudenkmal siehe: An der Industriebahn 12.;Bruno Buch und Karl Herrmann ;NA;Ziehl-Abegg-Elektrizit‰tsgesellschaft;1921-39;Nach 1995
9030587;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;An der Industriebahn 16;;Bruno Buch und Karl Herrmann ;NA;Verwaltungsgeb‰ude;1938;Nach 1995
9030588;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;N¸ﬂlerstraﬂe 24-25;;Bruno Buch und Karl Herrmann ;NA;Produktionsgeb‰ude;1921-39;Nach 1995
9030589;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Roelckestraﬂe 81-83;;Bruno Buch und Karl Herrmann ;NA;Produktionsgeb‰ude;1921-39;Nach 1995
9040571;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 26/30;Baudenkmal siehe: Behaimstraﬂe 30.;NA;NA;Mietshausgruppe;1894-1900;Nach 1995
9040573;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 26;;NA;NA;Mietshaus;1894;Nach 1995
9040574;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 28;;NA;NA;Mietshaus;1894;Nach 1995
9040575;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 46/50, Charlottenburger Straﬂe 127;;NA;NA;Mietshausgruppe;1888;Nach 1995
9040576;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 46;;NA;NA;Mietshaus;1888;Nach 1995
9040577;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 48;;NA;NA;Mietshaus;1888;Nach 1995
9040578;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Behaimstraﬂe 50 / Charlottenburger Straﬂe 127;;NA;NA;Mietshaus;1888;Nach 1995
9050452;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Belforter Straﬂe 15-18, 22, 23, Prenzlauer Allee 234;Baudenkmale siehe: Belforter Straﬂe 18.;NA;NA;Berliner Arbeiter- und Studententheater und Mietsh‰user;NA;Nach 1995
9070136;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Belforter Straﬂe 15;;NA;NA;Saalgeb‰ude;1878-79 und 1961;Nach 1995
9070146;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Belforter Straﬂe 16;;NA;NA;Mietshaus;1876-78;Nach 1995
9070147;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Belforter Straﬂe 17;;Matz ;NA;Mietshaus;1876-78;Nach 1995
9070148;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Belforter Straﬂe 22;;NA;NA;Mietshaus;1876-79;Nach 1995
9070149;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Belforter Straﬂe 23;;NA;NA;Mietshaus;1877-79;Nach 1995
9050471;PAN/FRZBU-E;Pankow;Ensemble;Weiterer Bestandteil;Berliner Straﬂe 24-27, 28A (Buchholz), Schˆnhauser Straﬂe 126;"Baudenkmale siehe: Berliner Straﬂe 24; 27 (Buchholz).";NA;NA;28A (Buchholz), Amtshaus, Wohnhaus, Mietsh‰user;NA;Nach 1995
9050474;PAN/FRZBU-E;Pankow;Ensemble;Weiterer Bestandteil;Berliner Straﬂe 25;;G. Schulze ;NA;Mietshaus;1890-1891;Nach 1995
9050475;PAN/FRZBU-E;Pankow;Ensemble;Weiterer Bestandteil;Berliner Straﬂe 26;;Liesegang ;NA;Wohnhaus;1891;Nach 1995
9050476;PAN/FRZBU-E;Pankow;Ensemble;Weiterer Bestandteil;Berliner Straﬂe 28A;;NA;NA;Mietshaus;1905;Nach 1995
9050477;PAN/FRZBU-E;Pankow;Ensemble;Weiterer Bestandteil;Schˆnhauser Straﬂe 126;;O. Schneider ;NA;Mietshaus mit Einfriedung, Stallungen;1901-1902;Nach 1995
9040540;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Bizetstraﬂe 47/61;Baudenkmal siehe: Bizetstraﬂe 61.onstituierende .;NA;NA;Mietsh‰user und Wirtschaftsgeb‰ude;1885-1900;Nach 1995
9040541;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Bizetstraﬂe 47;;August Nischbuhr; 1892 erweitert ;Mietshaus;1885 und 1892;Nach 1995
9040542;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Bizetstraﬂe 49;;August Nischbuhr; 1892 erweitert ;Mietshaus;1886-87 und 1892;Nach 1995
9040543;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Bizetstraﬂe 51/55;;Hermann Fischer ;NA;Mietsh‰user mit Werkstattgeb‰uden;1900;Nach 1995
9040544;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Bizetstraﬂe 59, Bizetstraﬂe 57, Wohnhaus, 1997;;August Nischbuhr ;NA;Mietshaus;1885-86 und 1997;Nach 1995
9085214;PAN/NIEDS-E;Pankow;Ensemble;Weiterer Bestandteil;Blankenburger Straﬂe 40/46;;NA;NA;Mietsh‰user;NA;Nach 1995
9085215;PAN/NIEDS-E;Pankow;Ensemble;Weiterer Bestandteil;Blankenburger Straﬂe 40;;NA;NA;Mietshaus;1910;Nach 1995
9085216;PAN/NIEDS-E;Pankow;Ensemble;Weiterer Bestandteil;Blankenburger Straﬂe 42;;NA;NA;Mietshaus;1905;Nach 1995
9085217;PAN/NIEDS-E;Pankow;Ensemble;Weiterer Bestandteil;Blankenburger Straﬂe 44;;NA;NA;Mietshaus;1910;Nach 1995
9085218;PAN/NIEDS-E;Pankow;Ensemble;Weiterer Bestandteil;Blankenburger Straﬂe 46;;NA;NA;Mietshaus;1905;Nach 1995
9065186;PAN/PRENZ-E;Pankow;Ensemble;Haupt;Bornholmer Straﬂe 89-90;Baudenkmal siehe: Bornholmer Straﬂe 90.;NA;NA;Mietsh‰user;NA;Nach 1995
9065187;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Bornholmer Straﬂe 89;;A. Wischkat ;NA;Mietshaus;1909-10;Nach 1995
9065228;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Bˆtzowstraﬂe 4/6, 9/11;Gesamtanlage siehe: Bˆtzowstraﬂe 11.;NA;NA;Mietsh‰user und Schule;NA;Nach 1995
9065229;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Bˆtzowstraﬂe 4;;Gustav Lanzendorf ;NA;Mietshaus;1901;Nach 1995
9065230;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Bˆtzowstraﬂe 6;;Gustav Lanzendorf ;NA;Mietshaus;1901-03;Nach 1995
9065231;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Bˆtzowstraﬂe 9;;Gustav Messling ;NA;Mietshaus einschlieﬂlich Durchfahrt und Treppenanlagen;1905-06;Nach 1995
9085219;PAN/PANKO-E;Pankow;Ensemble;Weiterer Bestandteil;Breite Straﬂe 41B-46, 48;"Baudenkmale siehe: Breite Straﬂe 43; 45; 48.onstituierende .";NA;NA;Wohnhaus, Villen, Mietshaus, Stallgeb‰ude;NA;Nach 1995
9085220;PAN/PANKO-E;Pankow;Ensemble;Weiterer Bestandteil;Breite Straﬂe 41B;;NA;NA;Wohnhaus;1880;Nach 1995
9085221;PAN/PANKO-E;Pankow;Ensemble;Weiterer Bestandteil;Breite Straﬂe 42;;NA;NA;Mietshaus;1900;Nach 1995
9085223;PAN/PANKO-E;Pankow;Ensemble;Weiterer Bestandteil;Breite Straﬂe 43A;;NA;NA;Stall;1890;Nach 1995
9085224;PAN/PANKO-E;Pankow;Ensemble;Weiterer Bestandteil;Breite Straﬂe 44;;NA;NA;Vorstadtvilla;1900;Nach 1995
9085226;PAN/PANKO-E;Pankow;Ensemble;Weiterer Bestandteil;Breite Straﬂe 46, Breite Straﬂe 42A;;NA;NA;Umbauten um;1890 und 1960;Nach 1995
9090204;PAN/PRENZ-E;Pankow;Ensemble;Haupt;Buchholzer Straﬂe 10-22, Gneiststraﬂe 1-20, Greifenhagener Straﬂe 1-4, 65-68, Pappelallee 68-73, Schˆnhauser Allee 58-59B;Gesamtanlage siehe: Buchholzer Straﬂe 10-22.audenkmal siehe: Schˆnhauser Allee 59.;NA;NA;Wohnanlage und M‰nner-Siechenhaus;1856-57 und 1871-1913;Nach 1995
9090206;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Pappelallee 68;;NA;NA;Mietshaus;1871-74;Nach 1995
9040337;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Buschallee 1-23, 24-68, 71- 84, 94-110, Berliner Allee 174, 178, Gartenstraﬂe 12-13, 22-25A, 27-29A, Hansastraﬂe 174/176, Sulzfelder Straﬂe 2/6;Gesamtanlage siehe: Buschallee 8-23....;NA;NA;Wohnanlagen;NA;Nach 1995
9040340;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Buschallee 1-7B / Berliner Allee 174 / Gartenstraﬂe 27-29A;;Bruno Schneidereit ;NA;Wohnanlage;1928-29;Nach 1995
9040339;PAN/WEIﬂS-E;Pankow;Ensemble;Weiterer Bestandteil;Buschallee 108-110 / Berliner Allee 178;;Carl James B¸hring ;NA;Mietsh‰user;1914;Nach 1995
9055135;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christburger Straﬂe 48, 49;;NA;NA;Mietsh‰user;NA;Nach 1995
9055136;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christburger Straﬂe 48;;NA;NA;Mietshaus;1905;Nach 1995
9055137;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christburger Straﬂe 49;;NA;NA;Mietshaus;1905;Nach 1995
9095423;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 4-37, Angerm¸nder Straﬂe 7-8, Choriner Straﬂe 2-6, 12-14, Fehrbelliner Straﬂe 4-9, 85-99, Lottumstraﬂe 1-29, Schˆnhauser Allee 173-177B, 182-184, Schwedter Straﬂe 261-268, Templiner Straﬂe 7-9, 15-19, Teutoburger Platz, Zehdenicker Straﬂe 2-3, Zionskirchstraﬂe 59-69, 71/79;"Gesamtanlagen siehe: Christinenstraﬂe 18-19; Fehrbelliner Straﬂe 98-99.audenkmale siehe: Choriner Straﬂe 4; Christinenstraﬂe 5; 8; 24; 25; 31; 35; Fehrbelliner Straﬂe 87; 89; 91; Lottumstraﬂe 29; Schˆnhauser Allee 173; Schwedter Straﬂe 261-262; 263; 266; 267; 268; Zehdenicker Straﬂe 2; Zionskirchstraﬂe 66.artendenkmal siehe: Christinenstraﬂe 18-19.";NA;NA;Teutoburger Platz, Platzanlage, Mietsh‰user, Gewerbe- und Sozialbauten;NA;Nach 1995
9095493;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Angerm¸nder Straﬂe 7 / Lottumstraﬂe 26;;NA;NA;Mietshaus;1867;Nach 1995
9095494;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Angerm¸nder Straﬂe 8 / Lottumstraﬂe 25;;NA;NA;Mietshaus;1860;Nach 1995
9095500;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 2 / Lottumstraﬂe 14;;NA;NA;Mietshaus;1866;Nach 1995
9095501;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 3;;NA;NA;Mietshaus und Werkstatt;1870;Nach 1995
9095503;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 5;;NA;NA;Mietshaus;1870;Nach 1995
9095504;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 6 / Fehrbelliner Straﬂe 85;;NA;NA;Mietshaus;1873;Nach 1995
9095428;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 12 / Zionskirchstraﬂe;;NA;NA;Mietshaus;1871;Nach 1995
9095429;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 13;;NA;NA;Mietshaus;1878;Nach 1995
9095430;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Choriner Straﬂe 14;;NA;NA;Mietshaus;1885;Nach 1995
9095507;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 4;;NA;NA;Mietshaus;1860;Nach 1995
9095509;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 6;;NA;NA;Mietshaus;1861;Nach 1995
9095510;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 7;;NA;NA;Mietshaus;1862;Nach 1995
9095512;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 9 / Lottumstraﬂe 6;;NA;NA;Mietshaus;1865;Nach 1995
9095513;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 10;;NA;NA;Mietshaus;1865;Nach 1995
9095514;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 11;;NA;NA;Mietshaus;1865;Nach 1995
9095515;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 12;;NA;NA;Mietshaus;1870;Nach 1995
9095431;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 13 / Fehrbelliner Straﬂe 9;;NA;NA;Mietshaus;1863;Nach 1995
9095432;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 14;;NA;NA;Mietshaus;1864;Nach 1995
9095433;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 15;;NA;NA;Mietshaus;1867;Nach 1995
9095434;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 16;;NA;NA;Mietshaus;1872;Nach 1995
9095435;PAN/PRENZ-E;Pankow;Ensemble;Weiterer Bestandteil;Christinenstraﬂe 17;;NA;NA;Mietshaus;1864;Nach 1995
